NAME	DESCRIPTION	/Users/mac9/Downloads/BL6_2_normal_thymus-VS-m084_tumor_thymus.PossionDis_Method.GeneDiffExp.xls_experimental	/Users/mac9/Downloads/BL6_2_normal_thymus-VS-m084_tumor_thymus.PossionDis_Method.GeneDiffExp.xls_control
TRNP1	na	63.94	1.39
1700124L16RIK	na	29.64	0.65
CTHRC1	na	5.38	0.12
GM5767	na	0.44	0.01
MUP19	na	0.44	0.01
D630045J12RIK	na	2.17	0.05
1700020N01RIK	na	0.43	0.01
CLIP3	na	41.99	0.98
WDR25	na	78.37	1.84
TMEM132B	na	0.42	0.01
OPRL1	na	0.42	0.01
ARG1	na	19.14	0.46
RPL3L	na	7.41	0.18
GM2061	na	0.4	0.01
4930455C13RIK	na	0.4	0.01
TCFL5	na	0.4	0.01
OLFR545	na	0.4	0.01
PLAUR	na	82.35	2.07
GM15867	na	17.9	0.45
OFCC1	na	0.39	0.01
KANK4OS	na	0.39	0.01
1700071M16RIK	na	0.39	0.01
DMRTC2	na	1.93	0.05
SHD	na	0.38	0.01
OLFR1034	na	0.38	0.01
GPNMB	na	73.02	1.97
TMEM59L	na	4.78	0.13
TRIM72	na	1.08	0.03
GM10364	na	0.36	0.01
CDA	na	0.36	0.01
CACNG1	na	0.35	0.01
LRRC69	na	0.35	0.01
TMEM150COS	na	0.7	0.02
CHRND	na	0.35	0.01
4933427G17RIK	na	0.34	0.01
4921513I03RIK	na	0.34	0.01
MUP1	na	0.34	0.01
GPR3	na	1.7	0.05
GM14139	na	0.34	0.01
GM4371	na	5.35	0.16
TMEM30C	na	0.33	0.01
APOL8	na	0.66	0.02
HHIPL1	na	0.65	0.02
DXBAY18	na	0.32	0.01
4930407I10RIK	na	0.31	0.01
DFNA5	na	19.51	0.63
1700001J03RIK	na	5.53	0.18
GCNT3	na	0.92	0.03
TMEM136	na	6.71	0.22
GM15319	na	0.3	0.01
INHBA	na	0.3	0.01
SPRR2D	na	0.3	0.01
CHD5	na	0.3	0.01
NKPD1	na	0.3	0.01
MPP3	na	4.8	0.16
GM7030	na	23.27	0.78
TSHZ3	na	6.55	0.22
GM14405	na	2.67	0.09
SCN5A	na	22.1	0.75
LAMA5	na	11.08	0.38
TMEM88	na	0.29	0.01
PATE4	na	0.29	0.01
LOC106557447	na	0.29	0.01
4930528D03RIK	na	0.58	0.02
LOC102631757	na	0.29	0.01
OLFR544	na	0.29	0.01
ELFN2	na	18.79	0.66
THBS1	na	25.3	0.9
CDCP2	na	0.28	0.01
OLFR1446	na	0.28	0.01
FMR1NB	na	0.28	0.01
4930474M22RIK	na	0.28	0.01
TXNDC2	na	0.28	0.01
SLC38A3	na	2.79	0.1
GREB1	na	4.15	0.15
ADAM2	na	20.47	0.74
IGF2BP3	na	12.71	0.46
COL7A1	na	3.56	0.13
SLFN14	na	0.27	0.01
KIF12	na	1.08	0.04
DPEP3	na	0.27	0.01
OLFM2	na	0.27	0.01
SGTB	na	12.55	0.47
PTPRH	na	0.79	0.03
PRG4	na	54.09	2.06
GALR1	na	0.52	0.02
VAX2	na	0.26	0.01
COL1A1	na	126.43	4.88
F7	na	1.54	0.06
CPSF4L	na	9.57	0.38
LCN2	na	93.4	3.73
RAB39B	na	3.0	0.12
SLC16A8	na	0.25	0.01
4930474N09RIK	na	0.25	0.01
EFHB	na	0.25	0.01
ANKRD1	na	1.49	0.06
LTK	na	0.48	0.02
4930444F02RIK	na	0.24	0.01
PATE2	na	0.24	0.01
PROX1	na	1.2	0.05
CACNA1C	na	5.41	0.23
NCALD	na	26.21	1.13
DUXBL2	na	1.39	0.06
DUXBL3	na	1.39	0.06
KCNRG	na	0.23	0.01
MYLK4	na	0.92	0.04
MGARP	na	1.58	0.07
SPATS1	na	0.45	0.02
4930550C14RIK	na	34.48	1.54
SPINK2	na	10.96	0.49
CHRNA1	na	2.01	0.09
GM15880	na	0.22	0.01
TMEM92	na	0.22	0.01
KIF26B	na	0.22	0.01
PRMT8	na	0.22	0.01
1700121N20RIK	na	0.22	0.01
FGF17	na	0.65	0.03
GM19461	na	1.29	0.06
COL26A1	na	0.43	0.02
TRIM36	na	10.53	0.49
CACNG4	na	13.73	0.65
9230102O04RIK	na	2.52	0.12
GSTA1	na	0.21	0.01
RRH	na	0.21	0.01
OLFR1061	na	0.21	0.01
GM12522	na	4.37	0.21
NOTCH1	na	403.34	19.42
SLC7A3	na	1.45	0.07
CNIH2	na	12.13	0.59
PRTG	na	0.81	0.04
METTL21C	na	1.01	0.05
COL8A1	na	6.04	0.3
OLFR18	na	0.2	0.01
SP7	na	0.2	0.01
SHISA7	na	0.8	0.04
OLFR314	na	0.2	0.01
WFDC3	na	0.2	0.01
RHOX4G	na	0.2	0.01
CFAP46	na	32.03	1.63
SERPINA3M	na	2.15	0.11
BC024386	na	0.19	0.01
SDS	na	1.52	0.08
SPEM1	na	0.19	0.01
4933429K18RIK	na	0.19	0.01
2310005A03RIK	na	0.19	0.01
CSF3	na	0.19	0.01
JPH2	na	1.7	0.09
HEYL	na	26.52	1.41
ASIC3	na	1.31	0.07
MYRFL	na	2.8	0.15
DEAR1	na	1.12	0.06
DUXBL1	na	8.87	0.48
MDRL	na	0.92	0.05
MYH1	na	0.92	0.05
TRPM6	na	1.65	0.09
5730559C18RIK	na	24.18	1.32
JDP2	na	55.49	3.06
GNG3	na	4.7	0.26
B4GALT2	na	5.77	0.32
JAKMIP3	na	0.18	0.01
CCDC177	na	0.18	0.01
OLFR60	na	0.18	0.01
OLFR525	na	0.18	0.01
8430426J06RIK	na	0.18	0.01
COL11A1	na	0.18	0.01
TTN	na	0.36	0.02
E030003E18RIK	na	0.18	0.01
6030440G07RIK	na	0.18	0.01
GM16853	na	0.18	0.01
MYPN	na	0.18	0.01
TMC5	na	2.66	0.15
CWH43	na	0.35	0.02
SLC25A53	na	39.47	2.32
SLC35F3	na	0.17	0.01
OLFR1062	na	0.17	0.01
PSG17	na	0.17	0.01
PRPS1L1	na	0.17	0.01
TAF7L	na	0.17	0.01
SLC28A1	na	0.17	0.01
SLC6A20B	na	0.17	0.01
HRC	na	0.17	0.01
OLFR1058	na	0.17	0.01
GM6034	na	1.19	0.07
EID3	na	1.86	0.11
PDE10A	na	19.88	1.19
DPCR1	na	0.5	0.03
RAMP3	na	49.59	2.98
GM525	na	340.21	20.49
BRINP1	na	1.49	0.09
GM1045	na	0.66	0.04
LMTK3	na	1.96	0.12
4930558K02RIK	na	0.49	0.03
SLC13A3	na	5.53	0.34
PPP1R32	na	5.48	0.34
OLFR49	na	0.16	0.01
BTBD17	na	0.16	0.01
DNMT3AOS	na	0.16	0.01
1700028I16RIK	na	0.16	0.01
CEACAM11	na	0.16	0.01
ALDH8A1	na	0.16	0.01
MSR1	na	15.02	0.94
SLC12A3	na	4.14	0.26
MYH10	na	25.47	1.64
TMPRSS7	na	0.31	0.02
BHMT	na	0.46	0.03
SCN4A	na	0.46	0.03
MFSD2B	na	2.76	0.18
CCL2	na	24.4	1.6
MMP12	na	13.69	0.9
SEC14L2	na	6.06	0.4
WNT8A	na	0.15	0.01
A230028O05RIK	na	0.15	0.01
FTCD	na	0.15	0.01
ZP1	na	0.15	0.01
4933405L10RIK	na	0.15	0.01
FRZB	na	0.45	0.03
C230014O12RIK	na	0.15	0.01
GFY	na	0.15	0.01
4933432I03RIK	na	0.15	0.01
B230216N24RIK	na	0.3	0.02
DISP2	na	0.45	0.03
KRT6B	na	0.15	0.01
LCA5L	na	0.6	0.04
THEGL	na	0.15	0.01
SULT6B2	na	0.15	0.01
BPIFB5	na	1.34	0.09
3110039I08RIK	na	21.28	1.43
COL27A1	na	36.82	2.48
1700020A23RIK	na	1.02	0.07
SCARA3	na	47.29	3.26
GPX2-PS1	na	0.87	0.06
FSD1	na	1.16	0.08
MYO16	na	6.88	0.48
MURC	na	0.43	0.03
KHDRBS2	na	0.57	0.04
ZFP532	na	10.75	0.76
SERPINA3N	na	104.38	7.38
OLFR524	na	1.69	0.12
TRPC5OS	na	0.28	0.02
GPR21	na	0.14	0.01
PATE3	na	0.14	0.01
TEX19.2	na	0.14	0.01
DIO3OS	na	0.28	0.02
LRIT3	na	0.14	0.01
RGAG1	na	0.14	0.01
RAET1E	na	0.14	0.01
EMILIN3	na	0.14	0.01
MMRN1	na	0.14	0.01
IFITM5	na	0.55	0.04
AMBP	na	0.96	0.07
RIMKLA	na	3.55	0.26
MFAP4	na	10.49	0.77
PABPC1L	na	5.38	0.4
TTC12	na	33.47	2.5
1700021N21RIK	na	0.4	0.03
4933408B17RIK	na	0.8	0.06
CHIL6	na	0.4	0.03
TRO	na	2.61	0.2
GAREML	na	0.13	0.01
GM15413	na	0.13	0.01
GNAT1	na	0.78	0.06
YIPF7	na	0.13	0.01
HNF1B	na	0.13	0.01
TREML1	na	0.39	0.03
AVPR1B	na	0.13	0.01
TECTA	na	0.39	0.03
MTL5	na	2.08	0.16
1810010D01RIK	na	0.9	0.07
GM973	na	2.16	0.17
XIRP1	na	0.38	0.03
LILR4B	na	29.08	2.3
OLFR1033	na	104.89	8.3
GM11517	na	1.63	0.13
STK32C	na	3.88	0.31
ANKRD66	na	0.25	0.02
NPC1L1	na	0.25	0.02
4930412O13RIK	na	0.5	0.04
TMEM252	na	5.19	0.42
DCLK2	na	137.15	11.11
WFIKKN1	na	3.42	0.28
COL1A2	na	80.71	6.62
C230035I16RIK	na	5.44	0.45
2410017I17RIK	na	10.45	0.87
GM13277	na	0.12	0.01
DUSP13	na	0.12	0.01
C330021F23RIK	na	0.12	0.01
LHX3	na	0.12	0.01
TDRD6	na	0.12	0.01
TMEM145	na	0.12	0.01
A2M	na	0.24	0.02
ZFP957	na	0.12	0.01
TRIM54	na	0.12	0.01
BMP8B	na	0.12	0.01
GPR61	na	0.12	0.01
MYO7B	na	0.12	0.01
NINL	na	2.64	0.22
NXF3	na	0.12	0.01
GPR75	na	0.24	0.02
HMOX1	na	139.24	11.71
MYBPC2	na	2.13	0.18
CCDC151	na	1.41	0.12
RNASE2A	na	3.86	0.33
ARSI	na	185.22	15.84
LOX	na	24.88	2.14
P2RY4	na	0.23	0.02
GM3363	na	0.23	0.02
MYOZ2	na	0.23	0.02
HOXB8	na	0.23	0.02
FAM183B	na	8.96	0.78
RANBP17	na	0.91	0.08
CCDC40	na	12.23	1.08
ATP2A1	na	6.36	0.57
NTF3	na	5.13	0.46
EFCAB8	na	1.55	0.14
GLP1R	na	0.11	0.01
PAX8	na	0.11	0.01
MYT1	na	0.11	0.01
FGA	na	0.11	0.01
MYH2	na	0.11	0.01
LDLRAD2	na	0.11	0.01
HUS1B	na	0.55	0.05
SLFNL1	na	0.22	0.02
CLEC4E	na	2.53	0.23
CYP4A10	na	0.11	0.01
PIP5KL1	na	0.11	0.01
GM30551	na	0.22	0.02
ZFHX2OS	na	0.11	0.01
SMOK4A	na	0.11	0.01
ARHGAP40	na	0.11	0.01
SLC16A14	na	0.11	0.01
GDF6	na	0.66	0.06
PCDHB13	na	0.11	0.01
CHRNA7	na	0.11	0.01
4930555G01RIK	na	0.11	0.01
GM1604B	na	2.41	0.22
FKBP10	na	20.46	1.88
ZGLP1	na	0.65	0.06
GM14634	na	1.29	0.12
UPK1A	na	3.74	0.35
AU040972	na	0.32	0.03
CACNA1D	na	3.94	0.37
CYR61	na	25.42	2.39
0610039K10RIK	na	1.59	0.15
FAM46B	na	1.37	0.13
CSRP3	na	0.63	0.06
TMEM8C	na	0.21	0.02
PRSS22	na	0.94	0.09
CRLF1	na	0.73	0.07
CCL7	na	12.92	1.24
1700065D16RIK	na	0.83	0.08
CLEC4D	na	4.25	0.41
MMP3	na	12.02	1.18
COL3A1	na	142.89	14.14
4933406I18RIK	na	3.32	0.33
MYO18B	na	0.1	0.01
GM29684	na	0.1	0.01
TCSTV3	na	0.3	0.03
CXCL2	na	1.3	0.13
ASPHD2	na	0.4	0.04
GM5415	na	0.1	0.01
CYP4A14	na	0.1	0.01
ELFN1	na	1.5	0.15
MC1R	na	0.8	0.08
MUC6	na	0.1	0.01
MYO15	na	0.1	0.01
XKR7	na	0.2	0.02
CAPN12	na	0.6	0.06
6330407A03RIK	na	0.1	0.01
KCNU1	na	0.2	0.02
RXFP2	na	0.1	0.01
LRRC19	na	0.1	0.01
1700034I23RIK	na	0.1	0.01
TCTE3	na	6.29	0.63
DBNDD1	na	5.49	0.55
CYP39A1	na	9.37	0.94
ACTA1	na	11.42	1.15
5730480H06RIK	na	5.16	0.52
IL22	na	1.28	0.13
TCAP	na	1.18	0.12
CPXM1	na	16.89	1.73
PDLIM4	na	62.56	6.44
2300002M23RIK	na	0.68	0.07
HTR2B	na	0.29	0.03
ALB	na	1.91	0.2
GRAMD3	na	128.43	13.45
H19	na	34.68	3.64
A	na	24.96	2.62
KCNK12	na	0.38	0.04
CKMT2	na	0.19	0.02
ATP6V1C2	na	0.19	0.02
SYT14	na	9.77	1.03
UBAP1L	na	0.85	0.09
4930599N23RIK	na	3.3	0.35
MFSD6L	na	0.28	0.03
NOX4	na	1.11	0.12
GLYAT	na	0.37	0.04
CLDN6	na	1.57	0.17
ANGPTL7	na	9.22	1.0
6330415G19RIK	na	3.66	0.4
MOSPD4	na	0.64	0.07
CILP	na	4.92	0.54
SLIT1	na	0.91	0.1
MPZL2	na	46.15	5.09
TMEM200A	na	0.09	0.01
GM29968	na	0.36	0.04
GRIN1OS	na	0.09	0.01
TM4SF19	na	0.18	0.02
L3MBTL1	na	0.27	0.03
ADGRA1	na	0.18	0.02
SRCIN1	na	0.18	0.02
4930594C11RIK	na	0.18	0.02
GM17757	na	0.09	0.01
FENDRR	na	0.09	0.01
CNTN2	na	0.45	0.05
TBR1	na	0.09	0.01
PAX6	na	0.09	0.01
VMN1R32	na	0.09	0.01
ZFP980	na	0.09	0.01
SKOR1	na	0.09	0.01
C230024C17RIK	na	0.09	0.01
CHRNE	na	0.36	0.04
TBX4	na	0.09	0.01
DPEP2	na	4.31	0.48
FAM71B	na	13.45	1.51
HIPK4	na	0.71	0.08
ANKRD2	na	0.71	0.08
DMRTA2	na	0.62	0.07
GM11744	na	2.39	0.27
PDE1B	na	2.3	0.26
CLEC4A4	na	0.44	0.05
1700007K09RIK	na	0.79	0.09
GM12505	na	0.35	0.04
ZFP811	na	1.05	0.12
LHFPL2	na	12.02	1.38
MB	na	2.07	0.24
RNF125	na	101.14	11.83
HSPB7	na	0.94	0.11
DTX1	na	55.43	6.52
TRIM63	na	0.85	0.1
FAM179A	na	0.17	0.02
PLA2G4E	na	0.17	0.02
ACOT10	na	0.17	0.02
GPR179	na	2.71	0.32
C3AR1	na	10.95	1.3
CCL3	na	7.66	0.91
TEX26	na	5.95	0.71
RFX8	na	0.25	0.03
GPR152	na	0.25	0.03
THBS4	na	3.08	0.37
RAB3B	na	1.33	0.16
CTSK	na	10.5	1.27
TIMP1	na	21.04	2.55
PLEKHG4	na	0.66	0.08
STAC3	na	0.66	0.08
MAGED1	na	158.82	19.28
FBXO17	na	15.02	1.83
KCNIP4	na	0.82	0.1
PRDM5	na	6.63	0.81
PVT1	na	4.74	0.58
DNAH9	na	6.94	0.85
ZFP345	na	1.06	0.13
1700030O20RIK	na	1.86	0.23
EFR3B	na	4.03	0.5
H2-BL	na	11.74	1.46
SPATS2L	na	35.78	4.45
BPIFB4	na	0.08	0.01
FBXO43	na	0.08	0.01
ACR	na	0.16	0.02
CCIN	na	0.08	0.01
GAD2	na	0.08	0.01
1700125H20RIK	na	0.24	0.03
1700034H15RIK	na	0.16	0.02
MROH6	na	0.08	0.01
VWA5B2	na	0.08	0.01
TREM1	na	0.16	0.02
3200001D21RIK	na	0.08	0.01
MUP11	na	0.88	0.11
GM9573	na	0.08	0.01
HOXC13	na	0.08	0.01
PLEKHD1	na	0.08	0.01
FOXR2	na	0.08	0.01
CD200R3	na	0.16	0.02
NGEF	na	0.08	0.01
WBSCR25	na	0.08	0.01
HCRTR2	na	0.08	0.01
9130221F21RIK	na	0.08	0.01
CCDC169	na	0.08	0.01
ADAM1B	na	0.08	0.01
SP5	na	0.08	0.01
GM15093	na	0.08	0.01
GFRA1	na	52.01	6.55
PRSS32	na	1.11	0.14
RNF225	na	1.03	0.13
MT2	na	330.43	41.85
CCDC57	na	10.34	1.31
COL5A1	na	9.23	1.17
CLCN1	na	0.71	0.09
IL10	na	1.42	0.18
AK7	na	1.34	0.17
SMKR-PS	na	6.68	0.85
SPEF2	na	2.9	0.37
ANKRD36	na	5.29	0.68
ATP6V0D2	na	27.73	3.57
GM20219	na	5.25	0.68
2210406O10RIK	na	1.77	0.23
ACSL6	na	1.23	0.16
KLHL40	na	0.23	0.03
TAGLN3	na	1.38	0.18
CYP2D26	na	0.23	0.03
4930515G01RIK	na	0.46	0.06
CXCL14	na	9.91	1.3
AUTS2	na	8.6	1.13
IGFBP3	na	39.69	5.22
MLLT4	na	31.91	4.2
TMEM254B	na	44.36	5.84
MLANA	na	0.53	0.07
HIST1H2BN	na	0.53	0.07
IRX1	na	1.81	0.24
MARVELD2	na	3.39	0.45
INA	na	0.15	0.02
PCDHB11	na	0.15	0.02
GM20199	na	0.15	0.02
GM20597	na	0.15	0.02
PRR36	na	2.02	0.27
GM5124	na	1.72	0.23
SBSPON	na	2.54	0.34
GM8909	na	59.89	8.11
SYTL3	na	189.68	25.72
TIAM2	na	3.45	0.47
SPIN4	na	0.66	0.09
FRMD5	na	0.44	0.06
BC021614	na	1450.17	197.88
COL5A2	na	15.07	2.06
CCL8	na	103.84	14.21
OVGP1	na	4.81	0.66
RIPK4	na	12.77	1.76
GM9159	na	0.29	0.04
4930447F24RIK	na	0.94	0.13
DEFB1	na	13.52	1.87
SFRP2	na	8.22	1.14
PBLD2	na	0.72	0.1
DFNB59	na	0.86	0.12
FN1	na	56.47	7.88
STC1	na	1.79	0.25
DYNC2H1	na	8.23	1.15
MTUS2	na	8.0	1.12
KRT6A	na	1.92	0.27
MBOAT2	na	3.27	0.46
CD5L	na	14.64	2.06
ATP2B4	na	24.86	3.52
CCL6	na	142.45	20.18
ESRRB	na	0.07	0.01
EVX1	na	0.07	0.01
TMEM63C	na	0.07	0.01
QRICH2	na	0.07	0.01
A330008L17RIK	na	0.07	0.01
SLC24A1	na	0.07	0.01
NPHS1	na	0.07	0.01
DUSP27	na	0.14	0.02
XIRP2	na	0.07	0.01
2700046A07RIK	na	0.07	0.01
D130043K22RIK	na	0.07	0.01
COL2A1	na	0.28	0.04
PCDHB9	na	0.28	0.04
KCNJ4	na	0.07	0.01
4930467E23RIK	na	0.07	0.01
4932415M13RIK	na	0.07	0.01
9830166K06RIK	na	0.14	0.02
LRRC71	na	0.07	0.01
ONECUT3	na	0.07	0.01
COL24A1	na	0.07	0.01
CEACAM2	na	0.35	0.05
RGS8	na	0.35	0.05
CPN1	na	0.98	0.14
RHO	na	0.21	0.03
1700093K21RIK	na	4.75	0.68
FAM209	na	5.16	0.74
CCDC39	na	5.05	0.73
4931402G19RIK	na	0.69	0.1
SERPINE1	na	4.61	0.67
1700028K03RIK	na	1.58	0.23
GPR31B	na	1.03	0.15
ACTA2	na	39.84	5.81
CLCA3A1	na	3.36	0.49
TMEM82	na	0.96	0.14
PBX4	na	21.1	3.08
GM12504	na	5.13	0.75
ASB14	na	0.41	0.06
HHAT	na	7.38	1.08
GM6623	na	4.5	0.66
LDB3	na	0.75	0.11
2610037D02RIK	na	1.7	0.25
GM5860	na	0.34	0.05
RYR3	na	2.31	0.34
FAM109B	na	7.46	1.1
CATIP	na	0.61	0.09
MYH4	na	2.3	0.34
FCGR4	na	7.77	1.15
GM17801	na	0.54	0.08
1700034O15RIK	na	1.62	0.24
TNNC2	na	6.53	0.97
PET117	na	1.48	0.22
BEX1	na	10.99	1.64
NPY4R	na	0.2	0.03
GLI1	na	0.6	0.09
CELSR3	na	0.2	0.03
PAX2	na	0.2	0.03
RNF223	na	2.13	0.32
SNHG9	na	38.42	5.79
F10	na	1.39	0.21
HSPA12A	na	7.73	1.17
CCDC73	na	2.31	0.35
GM829	na	0.33	0.05
CD7	na	217.96	33.17
MUP15	na	1.11	0.17
GM20735	na	0.39	0.06
CCDC136	na	1.56	0.24
APOM	na	0.78	0.12
GM10789	na	0.13	0.02
NLGN3	na	1.94	0.3
STUM	na	0.45	0.07
LNCENC1	na	0.45	0.07
GM1976	na	11.83	1.85
LILRB4A	na	33.28	5.21
SMOC2	na	33.98	5.32
COL28A1	na	0.51	0.08
MCHR1	na	0.51	0.08
TREM2	na	24.71	3.88
KRTAP3-2	na	0.76	0.12
SIM2	na	0.19	0.03
TMEM44	na	1.14	0.18
4930444G20RIK	na	0.95	0.15
DENND2A	na	4.93	0.78
YY2	na	5.52	0.88
SYNPO2L	na	0.94	0.15
SSC5D	na	2.0	0.32
4933430I17RIK	na	0.5	0.08
HFE2	na	0.25	0.04
TLR13	na	9.55	1.54
FAM71F2	na	2.17	0.35
ADAMTS1	na	4.09	0.66
C1QTNF6	na	7.31	1.18
1810064F22RIK	na	0.37	0.06
LOC100049077	na	1.6	0.26
JAZF1	na	12.14	1.98
ORM2	na	2.39	0.39
ASB4	na	0.49	0.08
TCEAL1	na	4.53	0.74
HES1	na	43.11	7.06
SLC22A3	na	13.66	2.24
PTBP2	na	71.77	11.77
COL17A1	na	1.64	0.27
E130317F20RIK	na	4.48	0.74
GPR176	na	1.21	0.2
FAR2	na	3.44	0.57
CCL12	na	24.49	4.07
GNMT	na	2.1	0.35
AI507597	na	0.6	0.1
POPDC3	na	0.12	0.02
AKAP4	na	0.06	0.01
VMN2R99	na	0.06	0.01
TRIM80	na	0.36	0.06
BTN1A1	na	0.24	0.04
D830031N03RIK	na	0.06	0.01
GM5577	na	0.6	0.1
PPP1R1C	na	0.12	0.02
OSCAR	na	0.18	0.03
GM7104	na	0.06	0.01
GUCY2G	na	0.06	0.01
PPP1R3A	na	0.06	0.01
BMP8A	na	0.12	0.02
CNN1	na	0.84	0.14
SCUBE2	na	0.06	0.01
C230072F16RIK	na	2.33	0.39
SH2D5	na	1.79	0.3
PTK7	na	21.58	3.63
EPOR	na	4.69	0.79
CCDC116	na	1.72	0.29
CLEC4A2	na	12.02	2.04
DDIT4	na	119.96	20.36
NXPH3	na	0.47	0.08
CLEC2E	na	0.41	0.07
CXCL13	na	30.69	5.24
TRPV6	na	8.95	1.53
SLC38A4	na	1.87	0.32
ZFP389	na	0.35	0.06
LRRC66	na	0.7	0.12
CITED4	na	9.79	1.68
PRIM2	na	145.78	25.03
MSANTD1	na	0.64	0.11
E130215H24RIK	na	15.53	2.67
MAP9	na	3.14	0.54
HIST1H2BP	na	1.57	0.27
PRSS39	na	0.29	0.05
ZSCAN10	na	1.62	0.28
CYP2C44	na	0.52	0.09
SNHG20	na	53.94	9.35
ZFP36L2	na	245.16	42.53
GPR25	na	40.68	7.07
TMEM254A	na	2.53	0.44
SPIRE2	na	5.52	0.96
PPP1R42	na	0.23	0.04
RPL5	na	81.16	14.14
DSG3	na	0.4	0.07
MRC2	na	3.07	0.54
SLC7A15	na	867.25	152.56
ZFP612	na	2.44	0.43
USP50	na	0.17	0.03
ZFP457	na	0.17	0.03
SPRED3	na	1.53	0.27
COL13A1	na	1.02	0.18
PTCH2	na	0.17	0.03
TRIM2	na	4.58	0.81
8430408G22RIK	na	10.03	1.78
LOC547349	na	10.94	1.95
CHIL3	na	5.93	1.06
SERP2	na	6.28	1.13
SLC34A2	na	1.5	0.27
GM13889	na	2.11	0.38
HUNK	na	11.16	2.01
TNNT3	na	9.27	1.67
MARCO	na	2.22	0.4
GABRE	na	1.27	0.23
MYBPC1	na	0.33	0.06
1700025N23RIK	na	0.33	0.06
TRIM43C	na	0.33	0.06
SCUBE3	na	0.11	0.02
CRYGN	na	0.55	0.1
A430078I02RIK	na	0.77	0.14
CABLES1	na	6.87	1.25
AMPH	na	1.37	0.25
GREB1L	na	0.93	0.17
THSD1	na	2.84	0.52
RAP1GAP2	na	5.46	1.0
BGN	na	138.2	25.33
LPAR2	na	11.77	2.16
